"site","date_time","ampl_mean"
"B113","20230507_103000",0.00258193073144995
"B113","20230507_103600",0.00261284274553273
"B113","20230507_104200",0.00258349471818944
"B113","20230507_104800",0.00364014236224966
"B113","20230507_105400",0.00259206666972251
"B113","20230507_110000",0.00268670468103376
"B113","20230507_110600",0.00258344243056912
"B113","20230507_111200",0.00357811721047145
"B113","20230507_111800",0.00343314979380621
"B113","20230507_112400",0.0030965794185869
"B113","20230507_113000",0.00304957652820066
"B113","20230507_113600",0.00254731842079491
"B113","20230507_114200",0.00260880052679789
"B113","20230507_114800",0.00335579147510555
"B113","20230507_115400",0.00712979371988439
"B113","20230507_120000",0.00265122813533441
"B113","20230507_120600",0.00478479859318216
"B113","20230507_121200",0.0030646000101661
"B113","20230507_121800",0.00299675340565857
"B113","20230507_122400",0.00252540437576981
"B113","20230507_123000",0.00262834343267815
"B113","20230507_123600",0.00261063711448253
"B113","20230507_124200",0.00286449442677305
"B113","20230507_124800",0.00267538475140103
"B113","20230507_125400",0.0038995832891598
"B113","20230507_130000",0.00261173412425814
"B113","20230507_130600",0.0739200979593725
"B113","20230507_131200",0.00376510378564793
"B113","20230507_131800",0.0029606766103698
"B113","20230507_132400",0.00277164868502659
"B113","20230507_133000",0.00273841426487398
"B113","20230507_133600",0.00396341919696624
"B113","20230507_134200",0.00365987006356008
"B113","20230507_134800",0.00310341039494642
"B113","20230507_135400",0.0147911787798449
"B113","20230507_140000",0.00429583662424292
"B113","20230507_140600",0.00269912370002659
"B113","20230507_141200",0.0110928621384555
"B113","20230507_141800",0.0026782155183187
"B113","20230507_142400",0.00265940709392399
"B113","20230507_143000",0.0036283051757303
"B113","20230507_143600",0.00280271275461913
"B113","20230507_144200",0.00282057850834335
"B113","20230507_144800",0.00279432241905347
"B113","20230507_145400",0.00595804902664221
"B113","20230507_150000",0.00307225961495116
"B113","20230507_150600",0.00504695494036541
"B113","20230507_151200",0.00284996853959722
"B113","20230507_151800",0.00262711844176975
"B113","20230507_152400",0.00288095574537497
"B113","20230507_153000",0.00265045192174181
"B113","20230507_153600",0.00303825981512616
"B113","20230507_154200",0.00397517539910965
"B113","20230507_154800",0.00331048986080684
"B113","20230507_155400",0.0043805016076148
"B113","20230507_160000",0.00312052024878537
"B113","20230507_160600",0.00293414554028053
"B113","20230507_161200",0.00973812053454664
"B113","20230507_161800",0.00531631007925543
"B113","20230507_162400",0.00403098846397309
"B113","20230507_163000",0.00275523279272374
"B113","20230507_163600",0.00291195812960548
"B113","20230507_164200",0.00278704225789413
"B113","20230507_164800",0.00279090571401051
"B113","20230507_165400",0.00330688565275091
